Area_SqFt,Bedrooms,Full_Bathrooms,Half_Bathrooms,Location,Year_Built,Garage_Area,Basement_Area,Luxury_Score,Price
3263,2,2,0,Standard,2014.0,341.3500837714542,0.0,33.0,784409.1187671188
2216,3,2,0,Suburbs,1964.0,0.0,1107.5870923915418,11.0,521041.3322317427
2458,3,2,0,Suburbs,2009.0,0.0,1002.9430104642008,86.0,829925.1947784146
2045,1,1,1,Rural,2022.0,388.97904181536734,0.0,79.0,410203.32758131117
1775,3,2,1,Standard,1967.0,368.0067379921079,921.6805816190351,36.0,708247.4536295275
2163,4,3,2,Standard,1986.0,382.56741051229193,876.3579257233108,40.0,856336.7919349569
1735,3,1,0,Standard,2024.0,638.4170404157062,765.6097677713142,69.0,768928.7143886772
2257,3,1,0,Premium,1984.0,565.6394600891002,749.807929378273,60.0,1348625.6751332716
1986,2,1,0,Suburbs,2006.0,371.8777768763077,0.0,43.0,480535.45382656483
3349,4,4,0,Suburbs,1966.0,527.8661897232014,1195.168167695661,77.0,987879.3508667505
2583,2,2,0,Suburbs,1993.0,350.7836067459638,1373.4650212913307,32.0,697244.3192012995
1796,5,4,0,Rural,1994.0,379.0728957500394,902.0485642870003,92.0,613748.3797875238
2720,3,1,1,Downtown,2003.0,584.9558700176418,847.9359095605366,77.0,1281063.756512354
2841,1,1,0,Downtown,1990.0,478.72974875876935,1605.4609126943658,81.0,1181455.687816732
2402,4,4,1,Rural,1991.0,407.065704663897,0.0,37.0,597506.797598097
2026,3,2,2,Suburbs,1983.0,586.1448398107798,0.0,18.0,628586.5361992643
3820,3,2,0,Rural,1997.0,459.18160514750116,1380.8938668184837,64.0,662675.2013654212
3111,4,3,0,Standard,1967.0,443.87262819134435,0.0,21.0,830948.098943675
1412,3,2,0,Premium,2016.0,150.0,343.416589396949,72.0,1184238.849670799
1818,3,1,0,Downtown,1978.0,383.6873465749573,700.3902466995618,82.0,971851.825673169
2429,1,1,1,Downtown,1960.0,150.0,927.883959182415,100.0,1076775.7878129075
1726,3,2,1,Suburbs,1981.0,258.1797490008013,774.8494997516709,66.0,605473.8209224044
2656,4,3,1,Downtown,2011.0,596.8823791510339,922.4834607005367,34.0,1324996.8470133375
1139,3,1,0,Standard,2004.0,,394.52525278127035,66.0,540543.5903716546
1339,3,2,0,Standard,2009.0,0.0,569.7568295200416,57.0,643048.5136689064
2288,3,2,1,Standard,1999.0,478.116466710101,0.0,26.0,745209.463194762
2277,3,1,0,Rural,1995.0,244.0047772574423,915.8491258163267,9.0,373088.59735061385
3201,1,1,1,Premium,1983.0,319.22103196472824,1344.0284629392747,86.0,1612282.4676507956
1930,2,2,1,Suburbs,1968.0,313.78101591770246,519.0705455426976,17.0,468427.8752226159
3045,1,1,1,Suburbs,1994.0,272.5307495465583,1138.7529379861662,17.0,633130.8872117021
1920,3,2,0,Rural,2009.0,0.0,769.4863604879334,89.0,481923.45369503764
1568,3,1,1,Premium,1976.0,690.6076361769076,215.46386275894167,58.0,1057359.011038454
2719,5,2,1,Downtown,1968.0,317.59249240750745,1238.8622581378818,61.0,1304484.9175212572
2363,2,1,0,Suburbs,1998.0,150.0,912.3656762092712,89.0,671619.813359044
2849,3,2,0,Downtown,1987.0,344.38735242885286,0.0,76.0,1206684.701926789
1701,2,1,1,Rural,1991.0,499.0733473518546,903.7128538227597,15.0,351744.929661803
3058,5,4,0,Suburbs,1969.0,222.82135891064243,0.0,37.0,765471.7602801685
2230,3,2,0,Standard,1967.0,150.0,0.0,68.0,714616.4356637646
2520,1,1,1,Downtown,2025.0,527.8613316697296,919.5548947983694,97.0,1167263.7968777805
1459,2,2,2,Standard,2022.0,0.0,784.9767157364493,75.0,710909.6880949946
2468,4,3,0,Standard,1967.0,526.952713930903,912.2432299923216,61.0,939674.1840926978
