Area_SqFt,Bedrooms,Full_Bathrooms,Half_Bathrooms,Location,Year_Built,Garage_Area,Basement_Area,Luxury_Score,Price,House_Age,Total_Bathrooms,Total_Area,Price_Per_SqFt,Luxury_Band
3263.0,2,2,0,Standard,2014.0,341.3500837714542,0.0,33.0,784409.1187671188,12.0,2.0,3604.350083771454,240.39507164177712,0
2216.0,3,2,0,Suburbs,1964.0,0.0,1107.5870923915418,11.0,521041.3322317427,62.0,2.0,3323.587092391542,235.12695497822324,0
2458.0,3,2,0,Suburbs,2009.0,0.0,1002.9430104642008,86.0,829925.1947784146,17.0,2.0,3460.9430104642006,337.6424714314136,1
2045.0,1,1,1,Rural,2022.0,388.97904181536734,0.0,79.0,410203.3275813112,4.0,1.5,2433.9790418153675,200.58842424513998,1
1775.0,3,2,1,Standard,1967.0,368.0067379921079,921.6805816190353,36.0,708247.4536295275,59.0,2.5,3064.6873196111433,399.01264993212817,0
2163.0,4,3,2,Standard,1986.0,382.56741051229193,876.3579257233108,40.0,856336.7919349569,40.0,4.0,3421.925336235603,395.90235410770083,0
1735.0,3,1,0,Standard,2024.0,638.4170404157062,765.6097677713142,69.0,768928.7143886772,2.0,1.0,3139.0268081870204,443.186578898373,0
2257.0,3,1,0,Premium,1984.0,565.6394600891002,749.807929378273,60.0,1348625.6751332716,42.0,1.0,3572.4473894673733,597.5302060847459,0
1986.0,2,1,0,Suburbs,2006.0,371.8777768763077,0.0,43.0,480535.4538265648,20.0,1.0,2357.8777768763075,241.9614571130739,0
3349.0,4,4,0,Suburbs,1966.0,527.8661897232014,1195.168167695661,77.0,987879.3508667503,60.0,4.0,5072.034357418863,294.9774114263214,1
2583.0,2,2,0,Suburbs,1993.0,350.7836067459638,1373.465021291331,32.0,697244.3192012995,33.0,2.0,4307.248628037295,269.93585722078956,0
1796.0,5,4,0,Rural,1994.0,379.0728957500394,902.0485642870004,92.0,613748.3797875238,32.0,4.0,3077.12146003704,341.7307237124297,1
2720.0,3,1,1,Downtown,2003.0,584.9558700176418,847.9359095605366,77.0,1281063.756512354,23.0,1.5,4152.891779578178,470.9793222471889,1
2841.0,1,1,0,Downtown,1990.0,478.72974875876935,1605.4609126943658,81.0,1181455.687816732,36.0,1.0,4925.190661453135,415.85909462046186,1
2402.0,4,4,1,Rural,1991.0,407.065704663897,0.0,37.0,597506.797598097,35.0,4.5,2809.065704663897,248.75387077356245,0
2026.0,3,2,2,Suburbs,1983.0,586.1448398107798,0.0,18.0,628586.5361992643,43.0,3.0,2612.1448398107796,310.2598895356685,0
3820.0,3,2,0,Rural,1997.0,459.1816051475012,1380.8938668184835,64.0,662675.2013654212,29.0,2.0,5660.075471965985,173.4751836035134,0
3111.0,4,3,0,Standard,1967.0,443.8726281913444,0.0,21.0,830948.098943675,59.0,3.0,3554.8726281913446,267.09999966045484,0
1412.0,3,2,0,Premium,2016.0,150.0,343.416589396949,72.0,1184238.849670799,10.0,2.0,1905.416589396949,838.6960691719539,0
1818.0,3,1,0,Downtown,1978.0,383.6873465749573,700.3902466995618,82.0,971851.825673169,48.0,1.0,2902.077593274519,534.5719613163745,1
2429.0,1,1,1,Downtown,1960.0,150.0,927.883959182415,100.0,1076775.7878129077,66.0,1.5,3506.883959182415,443.3000361518764,1
1726.0,3,2,1,Suburbs,1981.0,258.1797490008013,774.8494997516709,66.0,605473.8209224044,45.0,2.5,2759.029248752472,350.79595650197246,0
2656.0,4,3,1,Downtown,2011.0,596.8823791510339,922.4834607005369,34.0,1324996.8470133375,15.0,3.5,4175.365839851571,498.8692948092385,0
1139.0,3,1,0,Standard,2004.0,371.53726641104754,394.5252527812704,66.0,540543.5903716546,22.0,1.0,1905.062519192318,474.5773400980286,0
1339.0,3,2,0,Standard,2009.0,0.0,569.7568295200416,57.0,643048.5136689064,17.0,2.0,1908.7568295200417,480.2453425458599,0
2288.0,3,2,1,Standard,1999.0,478.116466710101,0.0,26.0,745209.463194762,27.0,2.5,2766.116466710101,325.7034367109974,0
2277.0,3,1,0,Rural,1995.0,244.0047772574423,915.8491258163268,9.0,373088.59735061385,31.0,1.0,3436.853903073769,163.85094306131484,0
3201.0,1,1,1,Premium,1983.0,319.22103196472824,1344.0284629392747,86.0,1451453.51024908,43.0,1.5,4864.249494904003,453.43752272698526,1
1930.0,2,2,1,Suburbs,1968.0,313.78101591770246,519.0705455426976,17.0,468427.8752226159,58.0,2.5,2762.8515614604003,242.70874363866108,0
3045.0,1,1,1,Suburbs,1994.0,272.5307495465583,1138.7529379861662,17.0,633130.8872117021,32.0,1.5,4456.283687532725,207.92475770499246,0
1920.0,3,2,0,Rural,2009.0,0.0,769.4863604879334,89.0,481923.4536950376,17.0,2.0,2689.4863604879333,251.00179879949874,1
1568.0,3,1,1,Premium,1976.0,690.6076361769076,215.46386275894167,58.0,1057359.011038454,50.0,1.5,2474.071498935849,674.3361039786059,0
2719.0,5,2,1,Downtown,1968.0,317.59249240750745,1238.8622581378818,61.0,1304484.9175212572,58.0,2.5,4275.454750545389,479.76642792249254,0
2363.0,2,1,0,Suburbs,1998.0,150.0,912.3656762092712,89.0,671619.813359044,28.0,1.0,3425.3656762092714,284.22336578884637,1
2849.0,3,2,0,Downtown,1987.0,344.38735242885286,0.0,76.0,1206684.701926789,39.0,2.0,3193.387352428853,423.5467539230569,1
1701.0,2,1,1,Rural,1991.0,499.0733473518546,903.7128538227596,15.0,351744.929661803,35.0,1.5,3103.786201174614,206.7871426583204,0
3058.0,5,4,0,Suburbs,1969.0,222.82135891064243,0.0,37.0,765471.7602801685,57.0,4.0,3280.8213589106426,250.31777641601323,0
2230.0,3,2,0,Standard,1967.0,150.0,0.0,68.0,714616.4356637646,59.0,2.0,2380.0,320.4558007460828,0
